POLYGON ((-179.9999 -89.9999,-179.9999 -0.0,0 0,-0.0 -89.9999,-179.9999 -89.9999))
POLYGON ((-22.4999875 29.531217187499998,-22.4999875 30.937465625,-19.687489062499999 30.937465625,-19.687489062499999 29.531217187499998,-22.4999875 29.531217187499998))
POLYGON ((-19.687489062499999 29.531217187499998,-19.687489062499999 30.937465625,-16.874990625 30.937465625,-16.874990625 29.531217187499998,-19.687489062499999 29.531217187499998))
POLYGON ((-16.874990625 28.12496875,-16.874990625 28.300749804687499,-16.523428320312497 28.300749804687499,-16.523428320312497 28.12496875,-16.874990625 28.12496875))
POLYGON ((-16.523428320312497 28.12496875,-16.523428320312497 28.300749804687499,-16.171866015625 28.300749804687499,-16.171866015625 28.12496875,-16.523428320312497 28.12496875))
POLYGON ((-16.874990625 28.300749804687499,-16.874990625 28.388640332031247,-16.699209472656246 28.388640332031247,-16.699209472656246 28.300749804687499,-16.874990625 28.300749804687499))
POLYGON ((-16.699209472656246 28.300749804687499,-16.699209472656246 28.388640332031247,-16.523428320312497 28.388640332031247,-16.523428320312497 28.300749804687499,-16.699209472656246 28.300749804687499))
POLYGON ((-16.874990625 28.388640332031247,-16.874990625 28.476530859375004,-16.699209472656246 28.476530859375004,-16.699209472656246 28.388640332031247,-16.874990625 28.388640332031247))
POLYGON ((-16.699209472656246 28.388640332031247,-16.699209472656246 28.476530859375004,-16.523428320312497 28.476530859375004,-16.523428320312497 28.388640332031247,-16.699209472656246 28.388640332031247))
POLYGON ((-16.523428320312497 28.300749804687499,-16.523428320312497 28.388640332031251,-16.347647167968752 28.388640332031251,-16.347647167968752 28.300749804687499,-16.523428320312497 28.300749804687499))
POLYGON ((-16.347647167968752 28.300749804687499,-16.347647167968752 28.388640332031251,-16.171866015625 28.388640332031251,-16.171866015625 28.300749804687499,-16.347647167968752 28.300749804687499))
POLYGON ((-16.523428320312497 28.388640332031251,-16.523428320312497 28.476530859375004,-16.347647167968752 28.476530859375004,-16.347647167968752 28.388640332031251,-16.523428320312497 28.388640332031251))
POLYGON ((-16.347647167968752 28.388640332031251,-16.347647167968752 28.432585595703131,-16.259756591796876 28.432585595703131,-16.259756591796876 28.388640332031251,-16.347647167968752 28.388640332031251))
POLYGON ((-16.259756591796876 28.388640332031251,-16.259756591796876 28.432585595703131,-16.171866015625 28.432585595703131,-16.171866015625 28.388640332031251,-16.259756591796876 28.388640332031251))
POLYGON ((-16.347647167968752 28.432585595703131,-16.347647167968752 28.476530859375004,-16.259756591796876 28.476530859375004,-16.259756591796876 28.432585595703131,-16.347647167968752 28.432585595703131))
POLYGON ((-16.259756591796876 28.432585595703131,-16.259756591796876 28.476530859375004,-16.171866015625 28.476530859375004,-16.171866015625 28.432585595703131,-16.259756591796876 28.432585595703131))
POLYGON ((-16.171866015625 28.12496875,-16.171866015625 28.476530859375004,-15.46874140625 28.476530859375004,-15.46874140625 28.12496875,-16.171866015625 28.12496875))
POLYGON ((-16.874990625 28.476530859375004,-16.874990625 28.828092968750003,-16.171866015625 28.828092968750003,-16.171866015625 28.476530859375004,-16.874990625 28.476530859375004))
POLYGON ((-16.171866015625 28.476530859375004,-16.171866015625 28.828092968750003,-15.46874140625 28.828092968750003,-15.46874140625 28.476530859375004,-16.171866015625 28.476530859375004))
POLYGON ((-15.46874140625 28.12496875,-15.46874140625 28.828092968750003,-14.062492187499998 28.828092968750003,-14.062492187499998 28.12496875,-15.46874140625 28.12496875))
POLYGON ((-16.874990625 28.828092968750003,-16.874990625 29.531217187499998,-15.46874140625 29.531217187499998,-15.46874140625 28.828092968750003,-16.874990625 28.828092968750003))
POLYGON ((-15.46874140625 28.828092968750003,-15.46874140625 29.531217187499998,-14.062492187499998 29.531217187499998,-14.062492187499998 28.828092968750003,-15.46874140625 28.828092968750003))
POLYGON ((-14.062492187499998 28.12496875,-14.062492187499998 28.476530859375004,-13.359367578125001 28.476530859375004,-13.359367578125001 28.12496875,-14.062492187499998 28.12496875))
POLYGON ((-13.359367578125001 28.12496875,-13.359367578125001 28.476530859375004,-12.65624296875 28.476530859375004,-12.65624296875 28.12496875,-13.359367578125001 28.12496875))
POLYGON ((-14.062492187499998 28.476530859375004,-14.062492187499998 28.828092968750003,-13.359367578125001 28.828092968750003,-13.359367578125001 28.476530859375004,-14.062492187499998 28.476530859375004))
POLYGON ((-13.359367578125001 28.476530859375004,-13.359367578125001 28.828092968750003,-12.65624296875 28.828092968750003,-12.65624296875 28.476530859375004,-13.359367578125001 28.476530859375004))
POLYGON ((-12.65624296875 28.12496875,-12.65624296875 28.828092968750003,-11.24999375 28.828092968750003,-11.24999375 28.12496875,-12.65624296875 28.12496875))
POLYGON ((-14.062492187499998 28.828092968750003,-14.062492187499998 29.003874023437501,-13.710929882812497 29.003874023437501,-13.710929882812497 28.828092968750003,-14.062492187499998 28.828092968750003))
POLYGON ((-13.710929882812497 28.828092968750003,-13.710929882812497 29.003874023437501,-13.359367578124997 29.003874023437501,-13.359367578124997 28.828092968750003,-13.710929882812497 28.828092968750003))
POLYGON ((-14.062492187499998 29.003874023437501,-14.062492187499998 29.179655078125002,-13.710929882812497 29.179655078125002,-13.710929882812497 29.003874023437501,-14.062492187499998 29.003874023437501))
POLYGON ((-13.710929882812497 29.003874023437501,-13.710929882812497 29.179655078125002,-13.359367578124997 29.179655078125002,-13.359367578124997 29.003874023437501,-13.710929882812497 29.003874023437501))
POLYGON ((-13.359367578124997 28.828092968750003,-13.359367578124997 29.179655078125002,-12.65624296875 29.179655078125002,-12.65624296875 28.828092968750003,-13.359367578124997 28.828092968750003))
POLYGON ((-14.062492187499998 29.179655078125002,-14.062492187499998 29.531217187499998,-13.359367578124997 29.531217187499998,-13.359367578124997 29.179655078125002,-14.062492187499998 29.179655078125002))
POLYGON ((-13.359367578124997 29.179655078125002,-13.359367578124997 29.531217187499998,-12.65624296875 29.531217187499998,-12.65624296875 29.179655078125002,-13.359367578124997 29.179655078125002))
POLYGON ((-12.65624296875 28.828092968750003,-12.65624296875 29.531217187499998,-11.24999375 29.531217187499998,-11.24999375 28.828092968750003,-12.65624296875 28.828092968750003))
POLYGON ((-16.874990625 29.531217187499998,-16.874990625 30.937465625,-14.062492187499998 30.937465625,-14.062492187499998 29.531217187499998,-16.874990625 29.531217187499998))
POLYGON ((-14.062492187499998 29.531217187499998,-14.062492187499998 30.937465625,-11.24999375 30.937465625,-11.24999375 29.531217187499998,-14.062492187499998 29.531217187499998))
POLYGON ((-22.4999875 30.937465625,-22.4999875 32.343714062499998,-19.687489062499999 32.343714062499998,-19.687489062499999 30.937465625,-22.4999875 30.937465625))
POLYGON ((-19.687489062499999 30.937465625,-19.687489062499999 32.343714062499998,-16.874990625 32.343714062499998,-16.874990625 30.937465625,-19.687489062499999 30.937465625))
POLYGON ((-22.4999875 32.343714062499998,-22.4999875 33.7499625,-19.687489062499999 33.7499625,-19.687489062499999 32.343714062499998,-22.4999875 32.343714062499998))
POLYGON ((-19.687489062499999 32.343714062499998,-19.687489062499999 33.046838281250004,-18.281239843749997 33.046838281250004,-18.281239843749997 32.343714062499998,-19.687489062499999 32.343714062499998))
POLYGON ((-18.281239843749997 32.343714062499998,-18.281239843749997 32.695276171875001,-17.578115234375002 32.695276171875001,-17.578115234375002 32.343714062499998,-18.281239843749997 32.343714062499998))
POLYGON ((-17.578115234375002 32.343714062499998,-17.578115234375002 32.695276171875001,-16.874990625 32.695276171875001,-16.874990625 32.343714062499998,-17.578115234375002 32.343714062499998))
POLYGON ((-18.281239843749997 32.695276171875001,-18.281239843749997 33.046838281250004,-17.578115234375002 33.046838281250004,-17.578115234375002 32.695276171875001,-18.281239843749997 32.695276171875001))
POLYGON ((-17.578115234375002 32.695276171875001,-17.578115234375002 33.046838281250004,-16.874990625 33.046838281250004,-16.874990625 32.695276171875001,-17.578115234375002 32.695276171875001))
POLYGON ((-19.687489062499999 33.046838281250004,-19.687489062499999 33.7499625,-18.281239843749997 33.7499625,-18.281239843749997 33.046838281250004,-19.687489062499999 33.046838281250004))
POLYGON ((-18.281239843749997 33.046838281250004,-18.281239843749997 33.7499625,-16.874990625 33.7499625,-16.874990625 33.046838281250004,-18.281239843749997 33.046838281250004))
POLYGON ((-16.874990625 30.937465625,-16.874990625 33.7499625,-11.24999375 33.7499625,-11.24999375 30.937465625,-16.874990625 30.937465625))
POLYGON ((-11.24999375 28.12496875,-11.24999375 33.7499625,-0.0 33.7499625,-0.0 28.12496875,-11.24999375 28.12496875))
POLYGON ((-44.999975 33.7499625,-44.999975 39.37495625,-33.74998125 39.37495625,-33.74998125 33.7499625,-44.999975 33.7499625))
POLYGON ((-33.74998125 33.7499625,-33.74998125 36.562459375,-28.124984375 36.562459375,-28.124984375 33.7499625,-33.74998125 33.7499625))
POLYGON ((-28.124984375 33.7499625,-28.124984375 36.562459375,-22.4999875 36.562459375,-22.4999875 33.7499625,-28.124984375 33.7499625))
POLYGON ((-33.74998125 36.562459375,-33.74998125 39.37495625,-28.124984375 39.37495625,-28.124984375 36.562459375,-33.74998125 36.562459375))
POLYGON ((-28.124984375 36.562459375,-28.124984375 37.9687078125,-25.3124859375 37.9687078125,-25.3124859375 36.562459375,-28.124984375 36.562459375))
POLYGON ((-25.3124859375 36.562459375,-25.3124859375 37.9687078125,-22.4999875 37.9687078125,-22.4999875 36.562459375,-25.3124859375 36.562459375))
POLYGON ((-28.124984375 37.9687078125,-28.124984375 39.37495625,-25.3124859375 39.37495625,-25.3124859375 37.9687078125,-28.124984375 37.9687078125))
POLYGON ((-25.3124859375 37.9687078125,-25.3124859375 39.37495625,-22.4999875 39.37495625,-22.4999875 37.9687078125,-25.3124859375 37.9687078125))
POLYGON ((-44.999975 39.37495625,-44.999975 44.99995,-33.74998125 44.99995,-33.74998125 39.37495625,-44.999975 39.37495625))
POLYGON ((-33.74998125 39.37495625,-33.74998125 44.99995,-22.4999875 44.99995,-22.4999875 39.37495625,-33.74998125 39.37495625))
POLYGON ((-22.4999875 33.7499625,-22.4999875 39.37495625,-11.24999375 39.37495625,-11.24999375 33.7499625,-22.4999875 33.7499625))
POLYGON ((-11.24999375 33.7499625,-11.24999375 35.156210937499999,-8.437495312500001 35.156210937499999,-8.437495312500001 33.7499625,-11.24999375 33.7499625))
POLYGON ((-8.437495312500001 33.7499625,-8.437495312500001 35.156210937499999,-5.624996875 35.156210937499999,-5.624996875 33.7499625,-8.437495312500001 33.7499625))
POLYGON ((-11.24999375 35.156210937499999,-11.24999375 36.562459375,-8.437495312500001 36.562459375,-8.437495312500001 35.156210937499999,-11.24999375 35.156210937499999))
POLYGON ((-8.437495312500001 35.156210937499999,-8.437495312500001 35.859335156249998,-7.03124609375 35.859335156249998,-7.03124609375 35.156210937499999,-8.437495312500001 35.156210937499999))
POLYGON ((-7.03124609375 35.156210937499999,-7.03124609375 35.859335156249998,-5.624996875 35.859335156249998,-5.624996875 35.156210937499999,-7.03124609375 35.156210937499999))
POLYGON ((-8.437495312500001 35.859335156249998,-8.437495312500001 36.562459375,-7.03124609375 36.562459375,-7.03124609375 35.859335156249998,-8.437495312500001 35.859335156249998))
POLYGON ((-7.03124609375 35.859335156249998,-7.03124609375 36.210897265625,-6.328121484375001 36.210897265625,-6.328121484375001 35.859335156249998,-7.03124609375 35.859335156249998))
POLYGON ((-6.328121484375001 35.859335156249998,-6.328121484375001 36.210897265625,-5.624996875 36.210897265625,-5.624996875 35.859335156249998,-6.328121484375001 35.859335156249998))
POLYGON ((-7.03124609375 36.210897265625,-7.03124609375 36.562459375,-6.328121484375001 36.562459375,-6.328121484375001 36.210897265625,-7.03124609375 36.210897265625))
POLYGON ((-6.328121484375001 36.210897265625,-6.328121484375001 36.386678320312498,-5.976559179687501 36.386678320312498,-5.976559179687501 36.210897265625,-6.328121484375001 36.210897265625))
POLYGON ((-5.976559179687501 36.210897265625,-5.976559179687501 36.386678320312498,-5.624996875 36.386678320312498,-5.624996875 36.210897265625,-5.976559179687501 36.210897265625))
POLYGON ((-6.328121484375001 36.386678320312498,-6.328121484375001 36.474568847656244,-6.152340332031251 36.474568847656244,-6.152340332031251 36.386678320312498,-6.328121484375001 36.386678320312498))
POLYGON ((-6.152340332031251 36.386678320312498,-6.152340332031251 36.474568847656244,-5.976559179687501 36.474568847656244,-5.976559179687501 36.386678320312498,-6.152340332031251 36.386678320312498))
POLYGON ((-6.328121484375001 36.474568847656244,-6.328121484375001 36.562459375,-6.152340332031251 36.562459375,-6.152340332031251 36.474568847656244,-6.328121484375001 36.474568847656244))
POLYGON ((-6.152340332031251 36.474568847656244,-6.152340332031251 36.562459375,-5.976559179687501 36.562459375,-5.976559179687501 36.474568847656244,-6.152340332031251 36.474568847656244))
POLYGON ((-5.976559179687501 36.386678320312498,-5.976559179687501 36.562459375,-5.624996875 36.562459375,-5.624996875 36.386678320312498,-5.976559179687501 36.386678320312498))
POLYGON ((-5.624996875 33.7499625,-5.624996875 35.156210937499999,-2.8124984375 35.156210937499999,-2.8124984375 33.7499625,-5.624996875 33.7499625))
POLYGON ((-2.8124984375 33.7499625,-2.8124984375 35.156210937499999,-0.0 35.156210937499999,-0.0 33.7499625,-2.8124984375 33.7499625))
POLYGON ((-5.624996875 35.156210937499999,-5.624996875 35.859335156249998,-4.218747656250001 35.859335156249998,-4.218747656250001 35.156210937499999,-5.624996875 35.156210937499999))
POLYGON ((-4.218747656250001 35.156210937499999,-4.218747656250001 35.859335156249998,-2.8124984375 35.859335156249998,-2.8124984375 35.156210937499999,-4.218747656250001 35.156210937499999))
POLYGON ((-5.624996875 35.859335156249998,-5.624996875 36.210897265624993,-4.921872265625001 36.210897265624993,-4.921872265625001 35.859335156249998,-5.624996875 35.859335156249998))
POLYGON ((-4.921872265625001 35.859335156249998,-4.921872265625001 36.210897265624993,-4.218747656250001 36.210897265624993,-4.218747656250001 35.859335156249998,-4.921872265625001 35.859335156249998))
POLYGON ((-5.624996875 36.210897265624993,-5.624996875 36.386678320312498,-5.273434570312502 36.386678320312498,-5.273434570312502 36.210897265624993,-5.624996875 36.210897265624993))
POLYGON ((-5.273434570312502 36.210897265624993,-5.273434570312502 36.386678320312498,-4.921872265625001 36.386678320312498,-4.921872265625001 36.210897265624993,-5.273434570312502 36.210897265624993))
POLYGON ((-5.624996875 36.386678320312498,-5.624996875 36.562459375,-5.273434570312502 36.562459375,-5.273434570312502 36.386678320312498,-5.624996875 36.386678320312498))
POLYGON ((-5.273434570312502 36.386678320312498,-5.273434570312502 36.474568847656244,-5.097653417968751 36.474568847656244,-5.097653417968751 36.386678320312498,-5.273434570312502 36.386678320312498))
POLYGON ((-5.097653417968751 36.386678320312498,-5.097653417968751 36.474568847656244,-4.921872265625001 36.474568847656244,-4.921872265625001 36.386678320312498,-5.097653417968751 36.386678320312498))
POLYGON ((-5.273434570312502 36.474568847656244,-5.273434570312502 36.562459375,-5.097653417968751 36.562459375,-5.097653417968751 36.474568847656244,-5.273434570312502 36.474568847656244))
POLYGON ((-5.097653417968751 36.474568847656244,-5.097653417968751 36.562459375,-4.921872265625001 36.562459375,-4.921872265625001 36.474568847656244,-5.097653417968751 36.474568847656244))
